Categories,Source,Text,probabilities
excesive repetition,LGBWR,"irhfencmmmcmmmmmcccccccccccccccccccccccccccccccccccccccccccccccc  dkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk  ckkkkkkkckckk  lllllld  d;dl  d,d,  d...d.ddddlkeke mmmdj ejj jd djdndjd ddnd e  d f j j j j j r t ggggg fgff b gg g g h h h y ub h h h h h h h g g g g g g ","[0.48274222016334534, 0.517257809638977]"
excesive repetition,LGBWR,I donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot thisI donot this,"[0.48290079832077026, 0.517099142074585]"
excessive misspelling,LGBWR,Die Mr Diant.  Yor restoran wery bytifil dizayn.  My braze vook end restorant nome end Samarkan. It iz  manajer.  My san and may sister live in Samarkand.Hea ty povar. Hea and gotovyat Uzbek pilav.  I lov end uzbek pilav.My femily and my from toje lov end uzbek pilav end uzbek somsa.    Senk Yo.     ,"[0.4830026924610138, 0.5169972777366638]"
excessive misspelling,LGBWR,My nime is shamuranova Nilufar I worker inavition tehnologis unversitet as a menejer I  work unversitet inavition tehnologis unversitet  asa mene,"[0.4869128465652466, 0.5130871534347534]"
excessive misspelling,LGBWR,"Hello My name is Zayniddin My surnaim Abirov Iam 25 yirsold.I am firom Uzbekistan I voz borin in Qashkadaryo I laik holiday big setti ,LONDON, MASKOV ,PARIJ, DUBAIY.","[0.4858643114566803, 0.5141356587409973]"
excessive misspelling,LGBWR,To us and descover has is guided movy through clusters prose's that there we a no blue PRI t studying a museum he reached might have advice was not the very firsmuseum to close Patna Museum closed Gate transfer Nadi science science harmony museum WhatsApp closing museum general general synonyms of nonprofit museum this am produce public public charity are tax exempt organisation going out of business 3 what is play border readers Hindi hats off general work together to determine record setting then uses they don' Hindi don't as the case with friends now 2010 where is limited flexible election really care where the hot girls museum sound museum clauses Hanuman museum ,"[0.484898179769516, 0.5151018500328064]"
excessive punctuation,LGBWR,"IM coming to your on my family from the 12th to 23st next month. we'd like to visit theshgdcgb ,m bfghfxcvmgtcvg trmgutsdxcbmnhg fsghydycgn tdfvjgttdccv h 1!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1！11！！！1111！11！！！！！!~!1！1！！111!111                                             1112!@!@!@!!!!!!1@1!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","[0.46599364280700684, 0.5340062975883484]"
excessive punctuation,LGBWR,"In this review, Iwant mto talk about .........................................................................................................................jjjjjjjjjjjn j j j jnjjm m m m m m m m m m m m m m m mmm m m mmm m m m m m m m m m m mmm m m m mmmmm mm m m m   m m  m m mm m m mm m m m m m m m mm m m m mm m m mm m m mmm mmm m m m m m m mm m m m mm mm mm m m mmmm m m mmm m mm m m mm m mm m m m m m m m mm m m m mm m m m m m m m m mm m m m mmm m m  mmm m m m mm m m mm  m mm mmm  mmm m m m m m m m m m m  cc   v  v v  cv c c cd  c d  d e  d d  d d d  d  ed3  f r  d rf f   d  s  uh y  s  i  tg r4dfggfh hg f","[0.48347175121307373, 0.5165282487869263]"
excessive punctuation,LGBWR,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","[0.4805316925048828, 0.5194683074951172]"
excessive punctuation,LGBWR,"I DO NOT KNOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  DONT ASK ME!!!!!!  I DONT WANNA DO THIS TEST！！！！！！！！！！！  MY MAMA SAID,I MUST DO THIS TEST!!!!  HELP ME!!!!!!!!!!!!  AAAAAAAAAAAAAAAAAAAHH!!!!!!!!!!!!    bcg whdw udwf ugyw gywfe ycfc yuywfw fdutf yfwgd2  jh dyded wfduyd d d esfwdug dhde d yfd xd vdx ydb yhd xjy gd dcg gd  ygsc  gwe sgcst guysaah hggs dfhwe gdgu duwe ygywd gdwy gdhvy ugwdhvwye hgfye dc  ggvwef vgvf    gvew gdew web vwdgv vwe vid gvhc uhdvw eg jgouf hbuuf hguysgds jhgyf fuge ihfbvgyfe hdfvhr yghcv hbuvb hbfd hbhv hbjhf hjc  hdbvhfhh fgfg fdguyt ggf ghdf fjgf fhdbcv fhkfdsf fgwefuy jtfgu firwer khfiurehf ruegiuer hgreg hgrhgrg  hjfew hdfg hkgf hgyfd hid hg hghf gishf kjorkt jhge jhljg jhkg lhgohor iiufig nmuf kgfefgif jfhr jg gf fhtr gf hg fg  fggh dhr hhght fgheye hterg hgyyu tjugth hthtu5yy hthrjyte htyjdv  ghgg hhvf gh ff gfhgtf gfjfi gfyguf guyugvtfkj jgytfygy hgiykf fuyfg ygbutfiu gigyiyhg yghgtyg ghgyty fyhg ggyt gyut fr d yuuf ugvtf uygyft iugugytf uy uf guyfc vyft uhgft gfyf bvt uhufyth vbjbg guvyhun bvjbkvb kjnhfbv kjbih jvhdgv b hfvb  b hbdfv bhoivbf nhg gd iygfd hgghkh giuhgureh hvfd fduhsfwe kjbsdhjnf bdvidhfwebhegc hfgyfwekjf bcjcd kfgf gfb hgjdgf hfgk hfidg hfigf hffh ffi ufgir hfu jfhgi hfgudf guf kjgiyfnhti iuyrn jgfjsgfi ","[0.4759646952152252, 0.5240353345870972]"
excessive repetition,LGBWR,"m o eeee n y m o      e n y   forkk folsnf  op fpfom dfdlo dpjmo lc c c c c c c c c c c c c c c c c c c c c c c c c n n n n n n n n n n n n n n n n n n n m m m m m m ml l l l l l l l l l l l l       g g g g g g g g g g b b b b b b b b d d d d d d d d dn n n nn n nm m m m m m m md n n n n n nn n  g g ng g g g g g cvisd  kjsd v ik efkj sedilk  fijk  ikvmd  jdm   lks flk kl kjnj mj j j j j j j j j j j j j jj j j klxdzm fk n eee  kjkjfkfkfd fd sdf k  kk sdf sf fddlo llsd f  klk k k ;jm;oldfg gfsd gfsgfsdlkfdlkggkkdfs  fjjnjgf fdgd gffgllbvfsndsklfvkkdfsldseflsfmflsmfdlfssdfmf vgvsggdf f gdfgf fg g g glvf f fl;llf glf lfr,  f f","[0.4832702577114105, 0.5167297720909119]"
excessive repetition,LGBWR,hhhhh   hhhhhhhh hhhhhh hhhh hh h h h h h h h h h h h h h    h h hh  h hh h h h hh h h h h h h h h h hh h hh  h hh h h h h h h h h h h h h h h h hh h h h h h h h h h h  h h hh h h h h  h h h hh h h hh h hh h h h hh h h hh h h h h h h h h hh h h h h h h  hh h h h h hh h h h h h hh h h h h hh h h hh h h h hh  hh h h hh  h h h h h hh h h h h hh h h h h hh h hh h h hh h h h h hh h hh h h h  hh hh h h hh  h h h hhh h h h h h hh h h h,"[0.4884108304977417, 0.5115891695022583]"
